Nr okręgu,Nr obwodu,Nazwa,Siedziba,Typ,Granice,Liczba mieszkańców,Liczba wyborców,PR - liczba wyborców,PR - liczba kart w urnie,RM - liczba wyborców,RM - liczba kart w urnie
1,11,V Liceum Ogólnokształcące im. Klaudyny Potockiej,ul. Zmartwychwstańców 10 Poznań,stały,"ul. 28 Czerwca 1956 r. parzyste 146 - 176, ul. Antoniego Kosińskiego nieparzyste 27 - 33, parzyste 28 - 32, ul. Antoniego Madalińskiego wszystkie adresy, ul. Fabryczna nieparzyste 1 - 5, 27/28 - 37a, parzyste 2 - 4, 30 - 42, ul. Hetmańska nieparzyste 91, ul. Ignacego Prądzyńskiego nieparzyste 21 - 23, parzyste 22, ul. Pamiątkowa nieparzyste 1, 3 - 15, parzyste 2 - 14, ul. Romualda Traugutta nieparzyste 1/3 - 15/17",2014,1646,1651,700,1651,706
1,12,Szkoła Podstawowa nr 5 im. Romualda Traugutta,ul. Romualda Traugutta 42 Poznań,stały,"ul. Czwartaków wszystkie adresy, ul. Hetmańska parzyste 102 - 112, ul. Partyzancka wszystkie adresy, ul. Pionierska wszystkie adresy, ul. Rolna nieparzyste 15 - 55, ul. Saperska wszystkie adresy, ul. Wspólna nieparzyste 45 - 65",2819,2153,2152,1309,2152,1311
1,13,H. Cegielski-Poznań Spółka Akcyjna,ul. 28 Czerwca 1956 r. 223 - 229 Poznań,stały,"ul. 28 Czerwca 1956 r. nieparzyste 187 - 285B, parzyste 188 - 194, 202 - 284, ul. Barska wszystkie adresy, ul. Bluszczowa wszystkie adresy, ul. Bzowa wszystkie adresy, ul. Dolna Wilda parzyste 126, ul. Droga Dębińska nieparzyste 27 - 35, parzyste 16, ul. Fiołkowa wszystkie adresy, ul. Hetmańska parzyste 82 - 100, ul. Hutnicza wszystkie adresy, ul. Lipowa wszystkie adresy, pl. Lipowy wszystkie adresy, ul. Łanowa wszystkie adresy, ul. Modrakowa nieparzyste 3, parzyste 2 - 4, ul. Piastowska parzyste 98, ul. Rolna parzyste 16 - 70, ul. Sportowa wszystkie adresy, ul. św. Trójcy wszystkie adresy, ul. Tokarska wszystkie adresy, ul. Wiśniowa wszystkie adresy, ul. Wrzosowa wszystkie adresy, ul. Wspólna nieparzyste 17 - 41, parzyste 12 - 58",2640,2179,2205,1089,2205,1090
1,14,Szkoła Podstawowa nr 77 im. 15 Pułku Ułanów Poznańskich,ul. Romana Dmowskiego 50 Poznań,stały,"ul. Drobna wszystkie adresy, ul. Dwatory nieparzyste 1a, parzyste 2a - 2b, ul. Głogowska nieparzyste 123 - 141, ul. Górecka nieparzyste 1 - 5, parzyste 2, ul. Hetmańska parzyste 52 - 74, ul. Jakuba Krauthofera nieparzyste 3 - 55U, ul. Romana Dmowskiego parzyste 62",1773,1554,1554,825,1554,825
1,15,Zespół Szkół nr 8,ul. Kazimierza Jarochowskiego 62 Poznań,stały,"ul. Adama Biedrzyckiego wszystkie adresy, ul. Błażeja Winklera wszystkie adresy, ul. Głogowska parzyste 114 - 128, 136 - 138, ul. Hetmańska parzyste 2a - 46, ul. Józefa Rogalińskiego wszystkie adresy, ul. Kazimierza Jarochowskiego nieparzyste 41 - 77, parzyste 50 - 70, ul. Krzysztofa Arciszewskiego wszystkie adresy, ul. Macieja Palacza parzyste 8 - 38, ul. Marcina Kasprzaka nieparzyste 41 - 57, parzyste 38 - 64, ul. Władysława Nehringa wszystkie adresy, ul. Wojciecha Cybulskiego wszystkie adresy",2150,1824,1848,1026,1848,1026
1,16,Zespół Szkół nr 8,ul. Kazimierza Jarochowskiego 62 Poznań,stały,"ul. Floriana Stablewskiego nieparzyste 35 - 47, ul. Głogowska nieparzyste 107 - 111, parzyste 102 - 112, ul. Gustawa Potworowskiego nieparzyste 1 - 13, parzyste 2 - 22, ul. Hetmańska nieparzyste 1 - 47, ul. Józefa Chociszewskiego nieparzyste 7 - 47, parzyste 2 - 22c, ul. Kazimierza Jarochowskiego nieparzyste 39 - 39a, parzyste 36 - 48a, ul. Marcina Kasprzaka nieparzyste 33 - 35, parzyste 22a - 34c, ul. Szymborska wszystkie adresy, ul. Wojciecha Bogusławskiego nieparzyste 19a - 31, parzyste 22 - 34",1947,1629,1629,842,1629,844
1,17,XXXVII Liceum Ogólnokształcące z Oddziałami Terapeutycznymi im. Jana Pawła II,ul. Klaudyny Potockiej 38 Poznań,stały,"ul. Głogowska nieparzyste 113 - 117, ul. Hetmańska nieparzyste 55 - 69, ul. Józefa Łukaszewicza nieparzyste 31 - 43, parzyste 50, ul. Klaudyny Potockiej nieparzyste 51, parzyste 24 - 50, ul. Kolejowa nieparzyste 5 - 33, parzyste 4 - 34a, ul. Lodowa nieparzyste 41 - 45, parzyste 30 - 36, ul. Romana Dmowskiego nieparzyste 39 - 41, parzyste 48 - 50, ul. Załęże wszystkie adresy",2085,1745,1758,924,1758,922
1,18,XXXVII Liceum Ogólnokształcące z Oddziałami Terapeutycznymi im. Jana Pawła II,ul. Klaudyny Potockiej 38 Poznań,stały,"ul. Floriana Stablewskiego nieparzyste 3a - 17, parzyste 6a - 16, ul. Józefa Łukaszewicza parzyste 20a - 44, ul. Klaudyny Potockiej nieparzyste 31 - 45c, ul. Lodowa nieparzyste 1, 3 - 35, ul. Romana Dmowskiego nieparzyste 5/7a - 37, parzyste 2 - 42",2016,1710,1718,1034,1718,1032
1,19,XXXVII Liceum Ogólnokształcące z Oddziałami Terapeutycznymi im. Jana Pawła II,ul. Klaudyny Potockiej 38 Poznań,stały,"ul. Chłodna wszystkie adresy, ul. Emilii Sczanieckiej parzyste 2 - 16, ul. Floriana Stablewskiego nieparzyste 19 - 33a, parzyste 44 - 46, ul. Franciszka Morawskiego wszystkie adresy, ul. Głogowska nieparzyste 85 - 89B, 91a - 105, parzyste 86 - 100, ul. Gustawa Potworowskiego nieparzyste 15 - 17a, ul. Kazimierza Jarochowskiego parzyste 26 - 34b, ul. Klaudyny Potockiej nieparzyste 21 - 25, ul. Lodowa parzyste 2 - 26, rynek Łazarski nieparzyste 17 - 19, parzyste 18, ul. Marcina Kasprzaka nieparzyste 11 - 27, parzyste 16, ul. Wojciecha Bogusławskiego nieparzyste 11, parzyste 10 - 18b",2258,1854,1879,1046,1879,1044
1,20,Zespół Szkół Gimnazjalno-Licealnych,ul. Stanisława Wyspiańskiego 27 Poznań,stały,"ul. Andrzeja i Władysława Niegolewskich nieparzyste 27 - 33, parzyste 18 - 36, ul. Bolesława Limanowskiego nieparzyste 13 - 31, parzyste 16 - 20, 22 - 24a, ul. Elżbiety Drużbackiej parzyste 2 - 8, ul. Jana Matejki nieparzyste 41 - 43, parzyste 40 - 42, ul. Józefa Chociszewskiego parzyste 24 - 54b, ul. Kazimierza Jarochowskiego nieparzyste 1 - 5A, parzyste 2 - 18, ul. Stanisława Wyspiańskiego nieparzyste 15 - 45, ul. Władysława Reymonta nieparzyste 21 - 39, ul. Wojciecha Bogusławskiego parzyste 2 - 6A",2127,1760,1763,928,1763,927
1,21,Zespół Szkół i Placówek Oświatowych,ul. Ryszarda Berwińskiego 2/4 Poznań,stały,"ul. Andrzeja i Władysława Niegolewskich nieparzyste 7 - 23, parzyste 6 - 16, ul. Bolesława Limanowskiego nieparzyste 1 - 11A, parzyste 2 - 12, ul. Elżbiety Drużbackiej nieparzyste 1 - 7, ul. Emilii Sczanieckiej nieparzyste 1 - 11a, ul. Głogowska parzyste 48 - 84, ul. Jana Matejki nieparzyste 29 - 39, 45 - 47, parzyste 30/31 - 38, 44 - 48/49, ul. Marcina Kasprzaka nieparzyste 1 - 7a, parzyste 2 - 8, ul. Ryszarda Berwińskiego wszystkie adresy, ul. Sebastiana Klonowica wszystkie adresy, ul. Stanisława Wyspiańskiego nieparzyste 3 - 13, parzyste 2 - 4",2063,1703,1743,724,1743,722
1,22,Szkoła Podstawowa nr 9 im. dra Franciszka Witaszka,ul. Józefa Łukaszewicza 9/13 Poznań,stały,"ul. Andrzeja i Władysława Niegolewskich nieparzyste 1 - 5, parzyste 2 - 4, ul. Antoniego Małeckiego nieparzyste 11 - 23, parzyste 8/9 - 24a, ul. Głogowska nieparzyste 51 - 83, ul. Józefa Łukaszewicza parzyste 2 - 16b, ul. Józefa Strusia nieparzyste 1 - 3a, 11, parzyste 2 - 2b, 10 - 12, ul. Kanałowa nieparzyste 17, parzyste 18, ul. Kącik wszystkie adresy, rynek Łazarski nieparzyste 1 - 15, parzyste 2 - 12, 16, ul. Romana Dmowskiego nieparzyste 1 - 3B",2014,1640,1638,712,1638,711
1,23,Szkoła Podstawowa nr 9 im. dra Franciszka Witaszka,ul. Józefa Łukaszewicza 9/13 Poznań,stały,"ul. Edmunda Calliera wszystkie adresy, ul. Graniczna nieparzyste 9/10 - 15, parzyste 12 - 14, ul. Józefa Łukaszewicza nieparzyste 1 - 29c, ul. Kolejowa nieparzyste 37 - 53, parzyste 38 - 52a, ul. Marcelego Mottego wszystkie adresy, ul. Stanisława Karwowskiego wszystkie adresy",2283,1934,1934,871,1934,871
1,24,Szkoła Podstawowa nr 9 im. dra Franciszka Witaszka,ul. Józefa Łukaszewicza 9/13 Poznań,stały,"ul. Antoniego Małeckiego nieparzyste 1 - 7, 25 - 37, parzyste 2 - 6, 26 - 36, ul. Gąsiorowskich nieparzyste 7 - 11, parzyste 8 - 12, ul. Głogowska nieparzyste 35 - 49, ul. Graniczna nieparzyste 1 - 7, parzyste 4 - 6, ul. Józefa Strusia nieparzyste 5 - 9, parzyste 6 - 8, ul. Kanałowa nieparzyste 1 - 3, 5, 7 - 13, 15 - 15a, parzyste 4 - 14, ul. Kolejowa nieparzyste 55 - 57",1644,1313,1350,533,1350,533
1,25,Zespół Szkół Handlowych im. Bohaterów Poznańskiego Czerwca `56,ul. Śniadeckich 54/58 Poznań,stały,"ul. Antoniego Małeckiego parzyste 38, ul. Bukowska parzyste 12, ul. Dworcowa nieparzyste 5 - 9, ul. Elizy Orzeszkowej wszystkie adresy, ul. Gąsiorowskich nieparzyste 3 - 5a, parzyste 2 - 6, ul. Głogowska nieparzyste 15 - 31/33, parzyste 10 - 40, ul. Grunwaldzka parzyste 6 - 20b, ul. Heliodora Święcickiego wszystkie adresy, ul. Jana Matejki nieparzyste 1 - 11A, parzyste 2 - 22, ul. Kolejowa nieparzyste 1 - 1/3, ul. Marii Konopnickiej wszystkie adresy, ul. Parkowa wszystkie adresy, ul. Stolarska wszystkie adresy, ul. Śniadeckich wszystkie adresy, ul. Zachodnia wszystkie adresy",1714,1390,1391,659,1391,659
1,26,Zespół Szkół Ogólnokształcących nr 12 im. Generałowej Zamoyskiej i Heleny Modrzejewskiej,ul. Jana Matejki 8/10 Poznań,stały,"ul. Artura Grottgera nieparzyste 15, parzyste 14 - 16, ul. Henryka Siemiradzkiego nieparzyste 3 - 3a, 7 - 11, parzyste 2 - 4, 8 - 12, ul. Jana Matejki nieparzyste 51 - 59, parzyste 50 - 60, ul. Józefa Chełmońskiego wszystkie adresy, ul. Juliusza Kossaka nieparzyste 1 - 9, parzyste 2 - 22, ul. Stanisława Wyspiańskiego parzyste 10 - 22, ul. Ułańska parzyste 2 - 8",1769,1406,1405,673,1405,673
1,27,Zespół Szkół Ogólnokształcących nr 12 im. Generałowej Zamoyskiej i Heleny Modrzejewskiej,ul. Jana Matejki 8/10 Poznań,stały,"ul. Artura Grottgera nieparzyste 1 - 13, parzyste 2 - 12, ul. Grunwaldzka parzyste 22 - 44, ul. Henryka Siemiradzkiego nieparzyste 5 - 5a, parzyste 6, ul. Jana Matejki nieparzyste 61 - 67, parzyste 62 - 68, ul. Juliusza Kossaka nieparzyste 11 - 23, ul. Kazimiery Iłłakowiczówny wszystkie adresy, ul. Skryta wszystkie adresy, ul. Stanisława Wyspiańskiego parzyste 26 - 38, ul. Ułańska nieparzyste 1 - 21, parzyste 10 - 22B, ul. Władysława Reymonta nieparzyste 3 - 19, ul. Wojskowa nieparzyste 1 - 9H, parzyste 4 - 10A",2166,1688,1707,967,1707,958
1,28,Szkoła Podstawowa nr 71 im. Janusza Kusocińskiego,ul. Stanisława Przybyszewskiego 37 Poznań,stały,"ul. Arnolda Szylinga wszystkie adresy, ul. Biała wszystkie adresy, ul. Bukowska parzyste 16 - 28, 30 - 70, ul. Grunwaldzka nieparzyste 1 - 43a, ul. Marcelińska nieparzyste 15 - 27, parzyste 4a - 36c, ul. Niecała wszystkie adresy, ul. Polna nieparzyste 39 - 41, parzyste 60 - 86d, ul. Rokietnicka wszystkie adresy, ul. Stanisława Przybyszewskiego nieparzyste 37A - 45, ul. Wojskowa nieparzyste 11/13a - 25, parzyste 16 - 24a, ul. Zakątek wszystkie adresy",1777,1502,1513,788,1513,787
1,29,Szkoła Podstawowa nr 71 im. Janusza Kusocińskiego,ul. Stanisława Przybyszewskiego 37 Poznań,stały,"ul. Augustyna Szamarzewskiego parzyste 40 - 60, ul. Bukowska nieparzyste 45a - 53, ul. Jana Długosza nieparzyste 21 - 29, parzyste 24 - 32, ul. Jana Gorczyczewskiego wszystkie adresy, ul. Maksymiliana Jackowskiego nieparzyste 45 - 57, parzyste 44 - 62, ul. Polna parzyste 40 - 56b, ul. Stanisława Przybyszewskiego nieparzyste 27 - 37",2105,1745,1750,1001,1750,999
1,30,Szkoła Podstawowa nr 92 z Oddziałami Przysposabiającymi do Pracy im. Ignacego Jana Paderewskiego,ul. Juliusza Słowackiego 58/60 Poznań,stały,"ul. Augustyna Szamarzewskiego parzyste 2 - 22, ul. Bukowska nieparzyste 25 - 37, ul. Józefa Kraszewskiego nieparzyste 17 - 25, ul. Maksymiliana Jackowskiego nieparzyste 3 - 21, parzyste 18 - 42a, ul. Piotra Wawrzyniaka nieparzyste 37 - 45, parzyste 26 - 40, ul. Polna nieparzyste 33",1270,1060,1061,483,1061,481
1,31,Przedszkole nr 86 „Tęczowy Świat”,ul. Julisza Słowackiego 15 Poznań,stały,"ul. Adama Asnyka parzyste 4, pl. Adama Asnyka wszystkie adresy, ul. Adama Mickiewicza nieparzyste 21/25 - 35, parzyste 22 - 36, ul. Bukowska nieparzyste 3/9 - 15, 17 - 21, ul. Franklina Roosevelta parzyste 18 - 22, ul. Gajowa wszystkie adresy, ul. Henryka Sienkiewicza nieparzyste 3 - 9a, 21, parzyste 6 - 10, 20 - 22, ul. Jana Henryka Dąbrowskiego parzyste 8 - 20/22, ul. Jana Kochanowskiego nieparzyste 9 - 11a, parzyste 8, 10, ul. Janusza Zeylanda wszystkie adresy, ul. Józefa Kraszewskiego parzyste 24 - 30, ul. Juliusza Słowackiego nieparzyste 13 - 19, 21 - 27, parzyste 8 - 22, ul. Mikołaja Reja wszystkie adresy, ul. Zwierzyniecka wszystkie adresy",1798,1499,1503,772,1503,772
1,32,Szkoła Podstawowa nr 36 im. mjr. Henryka Sucharskiego,ul. Juliusza Słowackiego 54/56 Poznań,stały,"ul. Adama Asnyka nieparzyste 1 - 9, ul. Augustyna Szamarzewskiego nieparzyste 1 - 5/9, 11 - 17, ul. Bolesława Prusa wszystkie adresy, ul. Henryka Sienkiewicza nieparzyste 11 - 13, parzyste 14 - 14a, ul. Jana Henryka Dąbrowskiego parzyste 24 - 68, ul. Jana Kochanowskiego nieparzyste 7, parzyste 8a, rynek Jeżycki wszystkie adresy, ul. Józefa Kraszewskiego nieparzyste 3 - 15, parzyste 2 - 16, ul. Juliusza Słowackiego nieparzyste 29 - 59, parzyste 24 - 34, 36 - 62, ul. Piotra Wawrzyniaka parzyste 4 - 24",2257,1885,1876,922,1876,923
1,33,Szkoła Podstawowa nr 92 z Oddziałami Przysposabiającymi do Pracy im. Ignacego Jana Paderewskiego,ul. Juliusza Słowackiego 58/60 Poznań,stały,"ul. Augustyna Szamarzewskiego nieparzyste 21 - 23, parzyste 24 - 38, ul. Jana Henryka Dąbrowskiego parzyste 70 - 72, ul. Maksymiliana Jackowskiego nieparzyste 23 - 43, ul. Piotra Wawrzyniaka nieparzyste 1 - 33, ul. Polna nieparzyste 25 - 31, ul. Stanisława Staszica parzyste 2 - 26",1690,1354,1357,513,1357,513
1,34,Szkoła Podstawowa nr 36 im. mjr. Henryka Sucharskiego,ul. Juliusza Słowackiego 54/56 Poznań,stały,"ul. Augustyna Szamarzewskiego nieparzyste 27 - 47, ul. Galla Anonima parzyste 2 - 4, ul. Jana Henryka Dąbrowskiego parzyste 76 - 82, ul. Jana Kassyusza parzyste 2 - 16, ul. Polna nieparzyste 1 - 11a, 13a - 23, parzyste 10 - 16, 18 - 24a, 28, ul. Stanisława Staszica nieparzyste 1 - 3, 5 - 25",1526,1270,1274,540,1274,539
1,35,Miejski Ośrodek Pomocy Rodzinie w Poznaniu Filia Jeżyce,ul. Jana Długosza 18a Poznań,stały,"ul. Augustyna Szamarzewskiego nieparzyste 53 - 65, ul. Galla Anonima nieparzyste 1 - 13, parzyste 6 - 20a, ul. Jana Długosza nieparzyste 1 - 19, parzyste 8 - 22, ul. Jana Henryka Dąbrowskiego parzyste 84 - 114, ul. Jana Kassyusza nieparzyste 1 - 15, ul. Polna parzyste 2 - 6, ul. Stanisława Przybyszewskiego nieparzyste 11 - 25, ul. Wincentego Kadłubka wszystkie adresy",1997,1638,1643,789,1643,791
1,36,Szkoła Podstawowa Specjalna nr 106,ul. Klemensa Janickiego 22 Poznań,stały,"ul. Galla Anonima nieparzyste 19 - 21, ul. Jana Długosza parzyste 2 - 6, ul. Jana Henryka Dąbrowskiego nieparzyste 63 - 117a, parzyste 116 - 124, ul. Klemensa Janickiego wszystkie adresy, ul. Kościelna nieparzyste 1 - 49, ul. Marii Rodziewiczówny wszystkie adresy, ul. Nad Seganką wszystkie adresy, ul. Stanisława Przybyszewskiego nieparzyste 1 - 9, ul. Stanisława Szczepanowskiego wszystkie adresy, ul. Stefana Żeromskiego parzyste 2 - 34, ul. św. Floriana wszystkie adresy, ul. św. Wawrzyńca nieparzyste 1/7 - 37, parzyste 10 - 36",2342,1876,1881,1061,1881,1061
1,37,Zespół Szkół Zawodowych nr 1,ul. św. Floriana 3 Poznań,stały,"ul. Jana Henryka Dąbrowskiego nieparzyste 47 - 57, ul. Jeżycka nieparzyste 1 - 9/11, ul. Kościelna parzyste 4 - 48, ul. Mączna wszystkie adresy, ul. Mylna parzyste 32/34 - 60, ul. Poznańska nieparzyste 1 - 7, parzyste 8/10 - 12, 18a - 26, ul. Wąska wszystkie adresy, ul. Żurawia parzyste 4 - 14",1333,1083,1087,545,1087,545
1,38,Szkoła Podstawowa nr 23 im. gen. Józefa Bema,ul. Cypriana Norwida 21 Poznań,stały,"ul. Jana Henryka Dąbrowskiego nieparzyste 23 - 45, ul. Jana Kochanowskiego nieparzyste 1 - 5, parzyste 2 - 6, ul. Petera Mansfelda wszystkie adresy, ul. Poznańska nieparzyste 11 - 43, ul. Romka Strzałkowskiego wszystkie adresy, ul. Żurawia nieparzyste 3 - 19/21",1313,1099,1110,553,1110,553
1,39,Szkoła Podstawowa nr 23 im. gen. Józefa Bema,ul. Cypriana Norwida 21 Poznań,stały,"ul. Adama Mickiewicza nieparzyste 1 - 9A, 11 - 13 - 19, parzyste 2 - 20, ul. Cypriana Norwida wszystkie adresy, ul. Franklina Roosevelta nieparzyste 1 - 11, parzyste 2 - 10, ul. Jana Henryka Dąbrowskiego nieparzyste 3 - 17a, ul. Jana Kochanowskiego nieparzyste 15 - 27, parzyste 16 - 28, ul. Jeżycka nieparzyste 13 - 45, parzyste 2 - 48, ul. Kościelna parzyste 50 - 58, ul. Michała Barzyńskiego wszystkie adresy, ul. Mylna nieparzyste 21 - 31b, ul. Nad Bogdanką wszystkie adresy, ul. Poznańska nieparzyste 49 - 57, parzyste 28/30 - 74, ul. Zacisze wszystkie adresy, ul. Zygmunta Krasińskiego wszystkie adresy",2766,2264,2287,1343,2287,1343
2,40,PROXIN OGRODY Sp. z o. o.,ul. Janusza Meissnera 2C/1 Poznań,stały,"ul. Antoniego Kocjana wszystkie adresy, ul. Bohdana Arcta wszystkie adresy, ul. Bukowska nieparzyste 167 - 175, ul. Czesława Tańskiego wszystkie adresy, ul. Jana Henryka Dąbrowskiego parzyste 252, 282/292, ul. Jana Nagórskiego wszystkie adresy, ul. Janusza Meissnera wszystkie adresy, ul. Jerzego Bajana wszystkie adresy, os. Lotnictwa Polskiego wszystkie adresy, ul. Pawła Zołotowa wszystkie adresy, ul. Polska nieparzyste 11 - 57, ul. Stanisława Latwisa wszystkie adresy, ul. Stefana Drzewieckiego wszystkie adresy",2286,1914,1917,1239,1917,1239
